Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","5000","World","5142","Food","2731","Bovine Meat","2018","2018","1000 t","69449","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2732","Mutton & Goat Meat","2018","2018","1000 t","15167","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2733","Pigmeat","2018","2018","1000 t","116982","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2734","Poultry Meat","2018","2018","1000 t","121206","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2735","Meat, Other","2018","2018","1000 t","6547","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2960","Fish, Seafood","2018","2018","1000 t","155479.3","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2731","Bovine Meat","2019","2019","1000 t","70656","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2732","Mutton & Goat Meat","2019","2019","1000 t","15099","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2733","Pigmeat","2019","2019","1000 t","115271","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2734","Poultry Meat","2019","2019","1000 t","127513","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2735","Meat, Other","2019","2019","1000 t","6270","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2960","Fish, Seafood","2019","2019","1000 t","158942.84","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2731","Bovine Meat","2020","2020","1000 t","72959","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2732","Mutton & Goat Meat","2020","2020","1000 t","15410","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2733","Pigmeat","2020","2020","1000 t","104102","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2734","Poultry Meat","2020","2020","1000 t","132237","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2735","Meat, Other","2020","2020","1000 t","6304","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2960","Fish, Seafood","2020","2020","1000 t","158642.49","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2731","Bovine Meat","2021","2021","1000 t","73877","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2732","Mutton & Goat Meat","2021","2021","1000 t","15854","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2733","Pigmeat","2021","2021","1000 t","114745","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2734","Poultry Meat","2021","2021","1000 t","132330","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2735","Meat, Other","2021","2021","1000 t","6323","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2960","Fish, Seafood","2021","2021","1000 t","160891.75","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2731","Bovine Meat","2022","2022","1000 t","74831","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2732","Mutton & Goat Meat","2022","2022","1000 t","16108","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2733","Pigmeat","2022","2022","1000 t","121352","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2734","Poultry Meat","2022","2022","1000 t","135380","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2735","Meat, Other","2022","2022","1000 t","6258","E","Estimated value",""
"FBS","Food Balances (2010-)","5000","World","5142","Food","2960","Fish, Seafood","2022","2022","1000 t","160856.59","E","Estimated value",""
